,Place,Lat,Lng
154,Inchelium,48.3292963,-118.3057595
155,Ione,38.3608718,-120.9612526
156,Keller,32.9357776,-97.256147
157,Lamona,29.6415848,-95.5220979
158,Loon Lake,38.9996197,-120.3270056
159,Malden,42.42875,-71.0896619
160,Metaline,48.8525168,-117.3975019
161,Metaline Falls,48.8609734,-117.3747248
162,Nespelem,48.1677823,-118.9762458
163,Newport,41.4861465,-71.3596893
164,Northport,40.9039156,-73.361315
165,Oakesdale,47.1304662,-117.2549298
166,Odessa,31.8767366,-102.4135935
167,Palouse,46.9100643,-117.0845298
168,Pullman,46.7305325,-117.1872779
169,Saint John,45.1104341,-66.3220278
170,Springdale,36.1879701,-94.2329213
171,Steptoe,29.75683,-95.3729462
172,Thornton,39.9157975,-105.0198403
173,Uniontown,39.8973761,-79.742057
174,Usk,51.7051391,-2.9083583
175,Spokane,47.6729347,-117.4821896
176,Benton City,46.2652002,-119.4971636
177,Beverly,42.5437491,-70.8978668
178,Bickleton,45.9958007,-120.3841058
179,Burbank,34.1820765,-118.3602305
180,Connell,46.6706774,-118.9017721
181,Dayton,39.8114392,-84.2721972
182,Kahlotus,46.6433654,-118.5701158
183,Kennewick,46.2004179,-119.2470991
184,Mesa,33.3957079,-111.8778427
185,Paterson,29.7623746,-95.4079616
186,Plymouth,41.8884194,-70.7749404
187,Prescott,34.5962873,-112.5239105
188,Mattawa,46.7358525,-119.9138786
189,Prosser,46.204749,-119.800343
190,Royal City,46.8975443,-119.6377834
191,Touchet,46.0427245,-118.6891386
192,Waitsburg,46.2686014,-118.1588543
193,Walla Walla,46.0628527,-118.4037656
194,Wallula,46.0845877,-118.9077432
195,Washtucna,46.7527383,-118.3184992
196,Anatone,46.1354809,-117.1379831
197,Asotin,46.3378766,-117.058869
198,Clarkston,42.7335494,-83.4296728
199,Anchorage,61.1083688,-150.0006882
200,Jber,61.2544979,-149.6955417
201,JBER,61.2544979,-149.6955417
202,Kongiganak,59.9589008,-162.9026775
203,Adak,51.8792992,-176.6599565
204,Atka,52.2359358,-174.2705204
205,Chignik Lake,56.2762781,-158.8772313
206,Port Heiden,56.9416138,-158.6719277
207,Port Lions,57.8730328,-152.8892013
208,Akiachak,60.9103312,-161.4334257
209,Akiak,60.9065542,-161.230494
210,Akutan,54.1292342,-165.8636704
211,Alakanuk,62.6903839,-164.6929101
212,Aleknagik,59.3056556,-158.8191623
213,Aniak,61.5814578,-159.5828627
214,Anvik,62.6515849,-160.2794136
215,Chefornak,60.1534705,-164.2879367
216,Chevak,61.5282363,-165.6043889
217,Chignik,56.3030207,-158.4396713
218,Chignik Lagoon,56.3074915,-158.5660793
219,Chitina,61.5253173,-144.6212252
220,Chugiak,61.3888984,-149.4906993
221,Clam Gulch,60.2090333,-151.4633137
222,Cold Bay,55.1999552,-162.8889062
223,Cooper Landing,60.4958691,-149.9769984
224,Copper Center,61.9817508,-145.4235045
225,Dillingham,59.0493083,-158.5955108
226,Eagle River,45.921337,-89.273917
227,Egegik,58.2380648,-157.8176667
228,Ekwok,59.3473231,-157.5548688
229,Emmonak,62.7797244,-164.5739671
230,False Pass,54.8414661,-163.4501956
231,Gakona,62.339267,-145.3884651
232,Girdwood,60.953521,-149.1739577
233,Glennallen,62.1372049,-145.9935624
234,Goodnews Bay,59.1285343,-161.6172317
235,Grayling,44.658232,-84.7238075
236,Saint George Island,29.6747686,-85.039367
237,Hooper Bay,61.5202364,-166.1390238
238,Iliamna,59.8007977,-154.9353387
239,Kalskag,61.5419078,-160.351242
240,Kasigluk,60.8882258,-162.6001932
241,Kasilof,60.3297118,-151.2726028
242,Kenai,60.5600144,-151.352478
243,King Cove,55.0850367,-162.3920733
244,Kipnuk,59.933852,-164.1375552
245,Kodiak,57.790505,-152.4389933
246,Kotlik,63.0301021,-163.5904348
247,Kwethluk,60.7976792,-161.4471787
248,Kwigillingok,59.877784,-163.2508382
249,Wasilla,61.5796732,-149.5288092
250,Larsen Bay,57.5427592,-154.0459852
251,Levelock,59.0638489,-156.9659347
252,Lower Kalskag,61.5163768,-160.373984
253,Manokotak,58.995739,-159.0728487
254,Mekoryuk,60.376776,-166.3420466
255,Moose Pass,60.4956345,-149.5298682
256,Mountain Village,37.9326845,-107.8803763
257,Naknek,58.7911995,-157.0502206
258,Napakiak,60.684752,-162.0184608
259,Nikiski,60.7206559,-151.3513194
260,New Stuyahok,59.4757044,-157.3397692
261,Toksook Bay,60.4994647,-165.2810544
262,Nikolski,52.9906815,-169.0999636
263,Ninilchik,60.0800439,-151.681933
264,Nondalton,59.9684944,-154.8809968
265,Nunapitchuk,60.8773108,-162.4953647
266,Old Harbor,57.206555,-153.4026973
267,Ouzinkie,57.9208933,-152.5106608
268,Pedro Bay,59.7864768,-154.2046681
269,Perryville,29.7074688,-95.4183041
270,Pilot Point,33.3814866,-96.9789489
271,Port Alsworth,60.1733654,-154.3861106
272,Quinhagak,59.7508951,-161.9424511
273,Red Devil,31.267502,-94.5765739
274,Russian Mission,61.7863096,-161.3878167
275,Saint Marys,29.7812337,-95.5825963
276,Sand Point,48.2847477,-116.5908543
277,Scammon Bay,61.8418936,-165.602727
278,Seldovia,59.4399642,-151.7201933
279,Shageluk,62.6704383,-159.6258906
280,Nunam Iqua,62.5102087,-164.9708497
281,Skwentna,61.932197,-151.8019702
282,Sleetmute,61.653217,-157.2608899
283,Soldotna,60.4875987,-151.1427907
284,South Naknek,58.671751,-157.1530896
285,Takotna,62.9702652,-156.2000997
286,Talkeetna,62.2723722,-150.1763322
287,Togiak,58.9652985,-160.8216403
288,Tuluksak,61.1088551,-160.97202
289,Tuntutuliak,60.3749911,-162.8022165
290,Tununak,60.5738049,-165.3503644
291,Tyonek,61.0819139,-151.4590869
292,Trapper Creek,62.3482811,-150.6513217
293,Unalakleet,63.890261,-160.8263141
294,Unalaska,53.9259062,-166.7150804
295,Valdez,61.1401159,-146.5638113
296,Yakutat,59.63499,-142.9369275
297,Nightmute,60.4971921,-164.9527903
298,Dutch Harbor,53.8940904,-166.5426859
299,Whittier,33.9795077,-118.0539304
300,Houston,29.8174782,-95.6814782
301,Fairbanks,64.8284446,-147.8090829
302,Eielson AFB,64.6749262,-147.1978283
